Country,Province,County,Continent,Population,StatsName
US,Tennessee,,North America,6829174,"Tennessee, US"
US,Vermont,,North America,623989,"Vermont, US"
US,Vermont,Rutland,North America,58191,"Rutland, Vermont, US"
US,Texas,Potter,North America,117415,"Potter, Texas, US"
US,Texas,Garza,North America,6229,"Garza, Texas, US"
US,Texas,Hardeman,North America,3933,"Hardeman, Texas, US"
US,Tennessee,Weakley,North America,33328,"Weakley, Tennessee, US"
US,Texas,Sterling,North America,1291,"Kenai Peninsula, Texas, US"
US,Texas,Glasscock,North America,1409,"Glasscock, Texas, US"
US,Texas,Hansford,North America,5399,"Hansford, Texas, US"
US,Texas,Lavaca,North America,20154,"Lavaca, Texas, US"
US,Texas,Stephens,North America,9366,"Stephens, Texas, US"
US,Tennessee,Knox,North America,470313,"Knox, Tennessee, US"
US,Texas,Lampasas,North America,21428,"Lampasas, Texas, US"
US,Texas,Starr,North America,64633,"Starr, Texas, US"
US,Tennessee,Johnson,North America,17788,"Johnson, Tennessee, US"
US,Texas,Lamb,North America,12893,"Lamb, Texas, US"
US,Texas,Kaufman,North America,136154,"Kaufman, Texas, US"
US,Tennessee,Jefferson,North America,54495,"Jefferson, Tennessee, US"
US,Texas,Castro,North America,7530,"Castro, Texas, US"
US,Virginia,Pittsylvania,North America,60354,"Pittsylvania, Virginia, US"
US,Texas,Karnes,North America,15601,"Karnes, Texas, US"
US,Texas,Cass,North America,30026,"Cass, Texas, US"
US,Virginia,Petersburg,North America,31346,"Petersburg, Virginia, US"
US,Texas,Jones,North America,20083,"Jones, Texas, US"
US,Tennessee,Grundy,North America,13427,"Grundy, Tennessee, US"
US,Tennessee,Dyer,North America,37159,"Dyer, Tennessee, US"
US,Texas,Johnson,North America,175817,"Johnson, Texas, US"
US,Tennessee,Greene,North America,69069,"Greene, Tennessee, US"
US,Texas,El Paso,North America,839238,"El Paso, Texas, US"
US,Texas,Jim Wells,North America,40482,"Jim Wells, Texas, US"
US,Tennessee,Grainger,North America,23320,"Grainger, Tennessee, US"
US,Texas,Edwards,North America,1932,"Edwards, Texas, US"
US,Virginia,Charlotte,North America,11880,"Charlotte, Virginia, US"
US,Tennessee,Giles,North America,29464,"Giles, Tennessee, US"
US,Texas,Mason,North America,4274,"Mason, Texas, US"
US,Virginia,Charles City,North America,6963,"Charles City, Virginia, US"
US,Tennessee,Gibson,North America,49133,"Gibson, Tennessee, US"
US,Texas,Martin,North America,5771,"Martin, Texas, US"
US,Tennessee,Cocke,North America,36004,"Cocke, Tennessee, US"
US,Texas,Rains,North America,12514,"Rains, Texas, US"
US,Texas,Marion,North America,9854,"Marion, Texas, US"
US,Virginia,Bristol,North America,16762,"Bristol, Virginia, US"
US,Tennessee,Wilson,North America,144657,"Wilson, Tennessee, US"
US,Vermont,Windsor,North America,55062,"Windsor, Vermont, US"
US,Vermont,Orleans,North America,27037,"Orleans, Vermont, US"
US,Texas,Polk,North America,51353,"Polk, Texas, US"
US,Texas,Galveston,North America,342139,"Galveston, Texas, US"
US,Texas,Carson,North America,5926,"Carson, Texas, US"
US,Tennessee,Wayne,North America,16673,"Wayne, Tennessee, US"
US,Texas,Gaines,North America,21492,"Gaines, Texas, US"
US,Texas,Crockett,North America,3464,"Crockett, Texas, US"
US,Tennessee,Washington,North America,129375,"Washington, Tennessee, US"
US,Texas,Gillespie,North America,26988,"Gillespie, Texas, US"
Saudi Arabia,,,Asia,34813867,Saudi Arabia
US,Tennessee,Sevier,North America,98250,"Sevier, Tennessee, US"
US,Tennessee,Trousdale,North America,11284,"Trousdale, Tennessee, US"
US,Utah,,North America,3205958,"Utah, US"
US,Tennessee,Henderson,North America,28117,"Henderson, Tennessee, US"
US,Texas,Kinney,North America,3667,"Kinney, Texas, US"
US,Utah,Weber-Morgan,North America,272337,"Weber-Morgan, Utah, US"
US,Texas,Lamar,North America,49859,"Lamar, Texas, US"
US,Texas,Austin,North America,30032,"Austin, Texas, US"
US,Tennessee,Jackson,North America,11786,"Jackson, Tennessee, US"
US,Texas,Fort Bend,North America,811688,"Fort Bend, Texas, US"
US,Texas,Brazos,North America,229211,"Brazos, Texas, US"
US,Texas,Montgomery,North America,607391,"Montgomery, Texas, US"
US,Texas,Bee,North America,32565,"Bee, Texas, US"
US,Texas,Foard,North America,1155,"Foard, Texas, US"
US,Texas,Montague,North America,19818,"Montague, Texas, US"
US,Tennessee,Perry,North America,8076,"Perry, Tennessee, US"
US,Tennessee,Dickson,North America,53948,"Dickson, Tennessee, US"
US,Wisconsin,Waupaca,North America,50990,"Waupaca, Wisconsin, US"
US,Tennessee,Overton,North America,22241,"Overton, Tennessee, US"
US,Tennessee,Decatur,North America,11663,"Decatur, Tennessee, US"
US,Texas,Jim Hogg,North America,5200,"Jim Hogg, Texas, US"
US,Tennessee,Out of TN,North America,0,"Out of TN, Tennessee, US"
US,Texas,Ector,North America,166223,"Ector, Texas, US"
US,Texas,Hudspeth,North America,4886,"Hudspeth, Texas, US"
US,Virginia,Arlington,North America,236842,"Arlington, Virginia, US"
US,Utah,Davis,North America,355481,"Davis, Utah, US"
US,Texas,Deaf Smith,North America,18546,"Deaf Smith, Texas, US"
US,Tennessee,Franklin,North America,42208,"Franklin, Tennessee, US"
US,Tennessee,Madison,North America,97984,"Madison, Tennessee, US"
US,Tennessee,Clay,North America,7615,"Clay, Tennessee, US"
US,Texas,DeWitt,North America,20160,"DeWitt, Texas, US"
US,Tennessee,Macon,North America,24602,"Macon, Tennessee, US"
US,Tennessee,Claiborne,North America,31959,"Claiborne, Tennessee, US"
US,South Dakota,Ziebach,North America,2756,"Ziebach, South Dakota, US"
US,Tennessee,Loudon,North America,54068,"Loudon, Tennessee, US"
US,South Dakota,Sully,North America,1391,"Sully, South Dakota, US"
US,South Dakota,Yankton,North America,22814,"Yankton, South Dakota, US"
US,Vermont,Orange,North America,28892,"Orange, Vermont, US"
US,South Dakota,Stanley,North America,3098,"Stanley, South Dakota, US"
US,South Dakota,Walworth,North America,5435,"Walworth, South Dakota, US"
US,Vermont,Lamoille,North America,25362,"Lamoille, Vermont, US"
US,South Dakota,Spink,North America,6376,"Spink, South Dakota, US"
US,South Dakota,Union,North America,15932,"Union, South Dakota, US"
US,Vermont,Grand Isle,North America,7235,"Grand Isle, Vermont, US"
US,South Dakota,Sanborn,North America,2344,"Sanborn, South Dakota, US"
US,South Dakota,Unassigned,North America,0,"Unassigned, South Dakota, US"
US,South Dakota,Haakon,North America,1899,"Haakon, South Dakota, US"
US,South Dakota,Roberts,North America,10394,"Roberts, South Dakota, US"
US,Texas,King,North America,272,"King, Texas, US"
US,South Dakota,Marshall,North America,4935,"Marshall, South Dakota, US"
US,Texas,La Salle,North America,7520,"La Salle, Texas, US"
US,Texas,Atascosa,North America,51153,"Atascosa, Texas, US"
US,Texas,Kimble,North America,4337,"Kimble, Texas, US"
US,Wisconsin,Bayfield,North America,15036,"Bayfield, Wisconsin, US"
US,Texas,Knox,North America,3664,"Knox, Texas, US"
US,Texas,Van Zandt,North America,56590,"Van Zandt, Texas, US"
US,Texas,Baylor,North America,3509,"Baylor, Texas, US"
US,Wisconsin,Barron,North America,45244,"Barron, Wisconsin, US"
US,Texas,Mitchell,North America,8545,"Mitchell, Texas, US"
US,Texas,Val Verde,North America,49025,"Val Verde, Texas, US"
US,Tennessee,Montgomery,North America,208993,"Montgomery, Tennessee, US"
US,Texas,Mills,North America,4873,"Mills, Texas, US"
US,Wisconsin,Clark,North America,34774,"Clark, Wisconsin, US"
US,Tennessee,DeKalb,North America,20490,"DeKalb, Tennessee, US"
US,Texas,Jefferson,North America,251565,"Jefferson, Texas, US"
US,Tennessee,Obion,North America,30069,"Obion, Tennessee, US"
US,South Dakota,Bennett,North America,3365,"Bennett, South Dakota, US"
US,Texas,Howard,North America,36664,"Howard, Texas, US"
US,Virginia,Appomattox,North America,15911,"Appomattox, Virginia, US"
US,Tennessee,Morgan,North America,21403,"Morgan, Tennessee, US"
US,Tennessee,Campbell,North America,39842,"Campbell, Tennessee, US"
US,South Carolina,Sumter,North America,106721,"Sumter, South Carolina, US"
US,Texas,Madison,North America,14284,"Madison, Texas, US"
US,Tennessee,Moore,North America,6488,"Moore, Tennessee, US"
US,Tennessee,Williamson,North America,238412,"Williamson, Tennessee, US"
US,South Carolina,Spartanburg,North America,319785,"Spartanburg, South Carolina, US"
US,Tennessee,Lincoln,North America,34366,"Lincoln, Tennessee, US"
US,South Carolina,Edgefield,North America,27260,"Edgefield, South Carolina, US"
US,Texas,Camp,North America,13094,"Camp, Texas, US"
US,South Carolina,Saluda,North America,20473,"Saluda, South Carolina, US"
US,South Carolina,Dorchester,North America,162809,"Dorchester, South Carolina, US"
US,Tennessee,Warren,North America,41277,"Warren, Tennessee, US"
US,Texas,Cameron,North America,423163,"Cameron, Texas, US"
Saudi Arabia,Main territory,,Asia,34813867,Saudi Arabia
US,Tennessee,Sequatchie,North America,15026,"Sequatchie, Tennessee, US"
US,Tennessee,Tipton,North America,61599,"Tipton, Tennessee, US"
US,Tennessee,Haywood,North America,17304,"Haywood, Tennessee, US"
Slovakia,,,Europe,5459643,Slovakia
US,South Dakota,Gregory,North America,4185,"Gregory, South Dakota, US"
US,South Dakota,Potter,North America,2153,"Potter, South Dakota, US"
US,Tennessee,Hawkins,North America,56786,"Hawkins, Tennessee, US"
US,South Dakota,Grant,North America,7052,"Grant, South Dakota, US"
US,South Dakota,Perkins,North America,2865,"Perkins, South Dakota, US"
US,Tennessee,Hardin,North America,25652,"Hardin, Tennessee, US"
US,Texas,Kerr,North America,52600,"Kerr, Texas, US"
US,Texas,Floyd,North America,5712,"Floyd, Texas, US"
US,South Dakota,Deuel,North America,4351,"Deuel, South Dakota, US"
US,Texas,Kent,North America,762,"Kent, Texas, US"
US,Texas,Fisher,North America,3830,"Fisher, Texas, US"
US,South Dakota,Day,North America,5424,"Day, South Dakota, US"
US,Texas,Kenedy,North America,404,"Kenedy, Texas, US"
US,Texas,Uvalde,North America,26741,"Uvalde, Texas, US"
US,Tennessee,Monroe,North America,46545,"Monroe, Tennessee, US"
US,Texas,Milam,North America,24823,"Milam, Texas, US"
US,Texas,Eastland,North America,18360,"Eastland, Texas, US"
US,Texas,Upton,North America,3657,"Upton, Texas, US"
US,Texas,Jeff Davis,North America,2274,"Jeff Davis, Texas, US"
US,Utah,Central Utah,North America,81954,"Central Utah, Utah, US"
US,South Dakota,Beadle,North America,18453,"Beadle, South Dakota, US"
US,Rhode Island,Kent,North America,164292,"Kent, Rhode Island, US"
US,Puerto Rico,San Sebastian,North America,35528,"San Sebastian, Puerto Rico, US"
US,South Dakota,Aurora,North America,2751,"Aurora, South Dakota, US"
US,Rhode Island,Bristol,North America,48479,"Bristol, Rhode Island, US"
US,Tennessee,Chester,North America,17297,"Chester, Tennessee, US"
US,Puerto Rico,San Lorenzo,North America,35989,"San Lorenzo, Puerto Rico, US"
US,Recovered,,North America,0,"Recovered, US"
US,South Carolina,Cherokee,North America,57300,"Cherokee, South Carolina, US"
US,Puerto Rico,San Juan,North America,318441,"San Juan, Puerto Rico, US"
US,Puerto Rico,,North America,3193694,"Puerto Rico, US"
US,Texas,Crane,North America,4797,"Crane, Texas, US"
US,South Dakota,Oglala Lakota,North America,14177,"Oglala Lakota, South Dakota, US"
US,South Carolina,Richland,North America,415759,"Richland, South Carolina, US"
US,South Carolina,Dillon,North America,30479,"Dillon, South Carolina, US"
US,Tennessee,Van Buren,North America,5872,"Van Buren, Tennessee, US"
US,Texas,Callahan,North America,13943,"Callahan, Texas, US"
US,South Dakota,Turner,North America,8384,"Turner, South Dakota, US"
US,South Carolina,Darlington,North America,66618,"Darlington, South Carolina, US"
US,Texas,Calhoun,North America,21290,"Calhoun, Texas, US"
US,South Dakota,Tripp,North America,5441,"Tripp, South Dakota, US"
US,Tennessee,Humphreys,North America,18582,"Humphreys, Tennessee, US"
US,Texas,Caldwell,North America,43664,"Caldwell, Texas, US"
Slovakia,Main territory,,Europe,5459643,Slovakia
US,Tennessee,Houston,North America,8201,"Houston, Tennessee, US"
US,South Dakota,Lyman,North America,3781,"Lyman, South Dakota, US"
Suriname,,,South America,586634,Suriname
US,Tennessee,Hickman,North America,25178,"Hickman, Tennessee, US"
US,South Dakota,Lincoln,North America,61128,"Lincoln, South Dakota, US"
US,Puerto Rico,Quebradillas,North America,22918,"Quebradillas, Puerto Rico, US"
US,Tennessee,Henry,North America,32345,"Henry, Tennessee, US"
US,South Dakota,Lawrence,North America,25844,"Lawrence, South Dakota, US"
US,Texas,Bastrop,North America,88723,"Bastrop, Texas, US"
US,Puerto Rico,Ponce,North America,131881,"Ponce, Puerto Rico, US"
US,South Dakota,Jackson,North America,3344,"Jackson, South Dakota, US"
US,Texas,Fayette,North America,25346,"Fayette, Texas, US"
US,Puerto Rico,Penuelas,North America,19249,"Penuelas, Puerto Rico, US"
US,South Dakota,Hyde,North America,1301,"Hyde, South Dakota, US"
US,Texas,Fannin,North America,35514,"Fannin, Texas, US"
US,Puerto Rico,Patillas,North America,16211,"Patillas, Puerto Rico, US"
US,South Dakota,Hutchinson,North America,7291,"Hutchinson, South Dakota, US"
US,Puerto Rico,Humacao,North America,50653,"Humacao, Puerto Rico, US"
US,Puerto Rico,Out of PR,North America,0,"Out of PR, Puerto Rico, US"
US,Texas,Upshur,North America,41753,"Upshur, Texas, US"
US,Puerto Rico,Hormigueros,North America,15518,"Hormigueros, Puerto Rico, US"
US,Puerto Rico,Orocovis,North America,20220,"Orocovis, Puerto Rico, US"
US,Texas,Unassigned,North America,0,"Unassigned, Texas, US"
US,Puerto Rico,Hatillo,North America,39218,"Hatillo, Puerto Rico, US"
US,Puerto Rico,Naranjito,North America,27349,"Naranjito, Puerto Rico, US"
US,Puerto Rico,Ciales,North America,15808,"Ciales, Puerto Rico, US"
US,Puerto Rico,Gurabo,North America,47093,"Gurabo, Puerto Rico, US"
US,Puerto Rico,Naguabo,North America,25761,"Naguabo, Puerto Rico, US"
US,Puerto Rico,Ceiba,North America,10904,"Ceiba, Puerto Rico, US"
US,Puerto Rico,Guaynabo,North America,83728,"Guaynabo, Puerto Rico, US"
US,Puerto Rico,Cabo Rojo,North America,47515,"Cabo Rojo, Puerto Rico, US"
US,South Carolina,Charleston,North America,411406,"Charleston, South Carolina, US"
US,Puerto Rico,Guayanilla,North America,17623,"Guayanilla, Puerto Rico, US"
US,Puerto Rico,Bayamon,North America,169269,"Bayamon, Puerto Rico, US"
US,Texas,Cottle,North America,1398,"Cottle, Texas, US"
US,South Dakota,Moody,North America,6576,"Moody, South Dakota, US"
US,South Carolina,Pickens,North America,126884,"Pickens, South Carolina, US"
US,Texas,Coryell,North America,75951,"Coryell, Texas, US"
US,South Dakota,Minnehaha,North America,193134,"Minnehaha, South Dakota, US"
US,South Carolina,Orangeburg,North America,86175,"Orangeburg, South Carolina, US"
US,Texas,Cooke,North America,41257,"Cooke, Texas, US"
US,South Dakota,Miner,North America,2216,"Miner, South Dakota, US"
US,South Carolina,Oconee,North America,79546,"Oconee, South Carolina, US"
US,Texas,Concho,North America,2726,"Concho, Texas, US"
US,South Dakota,Mellette,North America,2061,"Mellette, South Dakota, US"
US,South Carolina,Newberry,North America,38440,"Newberry, South Carolina, US"
US,Texas,Comanche,North America,13635,"Comanche, Texas, US"
US,South Dakota,Pennington,North America,113775,"Pennington, South Dakota, US"
US,South Carolina,McCormick,North America,9463,"McCormick, South Carolina, US"
US,Tennessee,Hardeman,North America,25050,"Hardeman, Tennessee, US"
US,Virginia,Fairfax,North America,1147532,"Fairfax, Virginia, US"
US,Wisconsin,Ashland,North America,15562,"Ashland, Wisconsin, US"
US,South Carolina,Marlboro,North America,26118,"Marlboro, South Carolina, US"
US,South Dakota,Lake,North America,12797,"Lake, South Dakota, US"
US,Texas,Bandera,North America,23112,"Bandera, Texas, US"
US,South Dakota,Davison,North America,19775,"Davison, South Dakota, US"
US,Texas,Kendall,North America,47431,"Kendall, Texas, US"
US,Tennessee,Davidson,North America,694144,"Davidson, Tennessee, US"
US,Tennessee,Meigs,North America,12422,"Meigs, Tennessee, US"
US,Pennsylvania,Lycoming,North America,113299,"Lycoming, Pennsylvania, US"
US,Texas,Duval,North America,11157,"Duval, Texas, US"
US,Tennessee,Cumberland,North America,60520,"Cumberland, Tennessee, US"
US,Pennsylvania,Luzerne,North America,317417,"Luzerne, Pennsylvania, US"
US,Tennessee,Fentress,North America,18523,"Fentress, Tennessee, US"
US,Tennessee,Crockett,North America,14230,"Crockett, Tennessee, US"
US,Texas,Dawson,North America,12728,"Dawson, Texas, US"
US,Tennessee,Bradley,North America,108110,"Bradley, Tennessee, US"
US,South Carolina,Jasper,North America,30073,"Jasper, South Carolina, US"
US,South Carolina,,North America,5148714,"South Carolina, US"
US,Texas,Pecos,North America,15823,"Pecos, Texas, US"
US,Tennessee,Cheatham,North America,40667,"Cheatham, Tennessee, US"
US,South Carolina,York,North America,280979,"York, South Carolina, US"
US,Texas,Parmer,North America,9605,"Parmer, Texas, US"
US,Tennessee,Carter,North America,56391,"Carter, Tennessee, US"
US,South Carolina,Williamsburg,North America,30368,"Williamsburg, South Carolina, US"
US,Texas,Parker,North America,142878,"Parker, Texas, US"
US,Tennessee,Carroll,North America,27767,"Carroll, Tennessee, US"
US,South Carolina,Union,North America,27316,"Union, South Carolina, US"
US,Puerto Rico,Guayama,North America,39465,"Guayama, Puerto Rico, US"
US,Tennessee,Cannon,North America,14678,"Cannon, Tennessee, US"
US,South Carolina,Unassigned,North America,0,"Unassigned, South Carolina, US"
US,Tennessee,Union,North America,19972,"Union, Tennessee, US"
US,Puerto Rico,Guanica,North America,15383,"Guanica, Puerto Rico, US"
US,Oregon,Unassigned,North America,0,"Unassigned, Oregon, US"
US,Tennessee,Unicoi,North America,17883,"Unicoi, Tennessee, US"
US,Puerto Rico,Florida,North America,11317,"Florida, Puerto Rico, US"
US,Oregon,Umatilla,North America,77950,"Umatilla, Oregon, US"
US,Texas,Armstrong,North America,1887,"Armstrong, Texas, US"
US,South Dakota,Faulk,North America,2299,"Faulk, South Dakota, US"
US,Puerto Rico,Fajardo,North America,29454,"Fajardo, Puerto Rico, US"
US,Texas,Comal,North America,156209,"Comal, Texas, US"
US,Puerto Rico,Aguas Buenas,North America,24814,"Aguas Buenas, Puerto Rico, US"
US,Puerto Rico,Dorado,North America,36141,"Dorado, Puerto Rico, US"
US,Texas,Colorado,North America,21493,"Colorado, Texas, US"
US,Puerto Rico,Aguadilla,North America,50265,"Aguadilla, Puerto Rico, US"
US,Pennsylvania,Wayne,North America,51361,"Wayne, Pennsylvania, US"
US,Texas,Collingsworth,North America,2920,"Collingsworth, Texas, US"
US,Pennsylvania,Sullivan,North America,6066,"Sullivan, Pennsylvania, US"
US,Pennsylvania,Washington,North America,206865,"Washington, Pennsylvania, US"
US,Texas,Collin,North America,1034730,"Collin, Texas, US"
US,Pennsylvania,Somerset,North America,73447,"Somerset, Pennsylvania, US"
US,Pennsylvania,Warren,North America,39191,"Warren, Pennsylvania, US"
US,Texas,Coleman,North America,8175,"Coleman, Texas, US"
US,Pennsylvania,Snyder,North America,40372,"Snyder, Pennsylvania, US"
US,South Dakota,Hughes,North America,17526,"Hughes, South Dakota, US"
US,Oregon,Crook,North America,24404,"Crook, Oregon, US"
US,Pennsylvania,Erie,North America,269728,"Erie, Pennsylvania, US"
US,Virginia,Amherst,North America,31605,"Amherst, Virginia, US"
US,Pennsylvania,Lehigh,North America,369318,"Lehigh, Pennsylvania, US"
US,Pennsylvania,Elk,North America,29910,"Elk, Pennsylvania, US"
US,Oklahoma,Texas,North America,19983,"Texas, Oklahoma, US"
US,Pennsylvania,Clearfield,North America,79255,"Clearfield, Pennsylvania, US"
US,Tennessee,Blount,North America,133088,"Blount, Tennessee, US"
US,South Carolina,Horry,North America,354081,"Horry, South Carolina, US"
US,Pennsylvania,Clarion,North America,38438,"Clarion, Pennsylvania, US"
US,Tennessee,Lewis,North America,12268,"Lewis, Tennessee, US"
US,South Carolina,Hampton,North America,19222,"Hampton, South Carolina, US"
US,Puerto Rico,Cayey,North America,42409,"Cayey, Puerto Rico, US"
US,Puerto Rico,San German,North America,30227,"San German, Puerto Rico, US"
US,Tennessee,Lawrence,North America,44142,"Lawrence, Tennessee, US"
US,Puerto Rico,Catano,North America,23121,"Catano, Puerto Rico, US"
US,South Carolina,Calhoun,North America,14553,"Calhoun, South Carolina, US"
US,Texas,Panola,North America,23194,"Panola, Texas, US"
US,Puerto Rico,Barranquitas,North America,27725,"Barranquitas, Puerto Rico, US"
US,Tennessee,Scott,North America,22068,"Scott, Tennessee, US"
US,Tennessee,Sumner,North America,191283,"Sumner, Tennessee, US"
US,Pennsylvania,Adams,North America,103009,"Adams, Pennsylvania, US"
US,South Carolina,Colleton,North America,37677,"Colleton, South Carolina, US"
US,South Dakota,Todd,North America,10177,"Todd, South Dakota, US"
US,Texas,Burnet,North America,48155,"Burnet, Texas, US"
US,Texas,Brazoria,North America,374264,"Brazoria, Texas, US"
US,Oklahoma,Pontotoc,North America,38284,"Pontotoc, Oklahoma, US"
US,Oregon,Malheur,North America,30571,"Malheur, Oregon, US"
US,South Dakota,Meade,North America,28332,"Meade, South Dakota, US"
US,Oregon,Tillamook,North America,27036,"Tillamook, Oregon, US"
US,Oregon,Jackson,North America,220944,"Jackson, Oregon, US"
US,South Dakota,McPherson,North America,2379,"McPherson, South Dakota, US"
US,Oregon,Sherman,North America,1780,"Sherman, Oregon, US"
US,Oregon,Hood River,North America,23382,"Hood River, Oregon, US"
US,South Dakota,McCook,North America,5586,"McCook, South Dakota, US"
US,Puerto Rico,Aguada,North America,36694,"Aguada, Puerto Rico, US"
US,Oregon,Polk,North America,86085,"Polk, Oregon, US"
US,Oklahoma,Oklahoma,North America,797434,"Oklahoma, Oklahoma, US"
US,Puerto Rico,Adjuntas,North America,17363,"Adjuntas, Puerto Rico, US"
US,Oregon,Multnomah,North America,812855,"Multnomah, Oregon, US"
US,Oklahoma,Okfuskee,North America,11993,"Okfuskee, Oklahoma, US"
US,Pennsylvania,,North America,12801989,"Pennsylvania, US"
US,Oregon,Morrow,North America,11603,"Morrow, Oregon, US"
US,Oklahoma,Nowata,North America,10076,"Nowata, Oklahoma, US"
US,South Dakota,Harding,North America,1298,"Harding, South Dakota, US"
US,Oregon,Coos,North America,64487,"Coos, Oregon, US"
US,Oklahoma,Noble,North America,11131,"Noble, Oklahoma, US"
US,South Dakota,Hanson,North America,3453,"Hanson, South Dakota, US"
US,Pennsylvania,Lebanon,North America,141793,"Lebanon, Pennsylvania, US"
US,Oklahoma,Muskogee,North America,67997,"Muskogee, Oklahoma, US"
US,Pennsylvania,Delaware,North America,566747,"Delaware, Pennsylvania, US"
US,Pennsylvania,Lawrence,North America,85512,"Lawrence, Pennsylvania, US"
US,Oklahoma,Murray,North America,14073,"Murray, Oklahoma, US"
US,Pennsylvania,Dauphin,North America,278299,"Dauphin, Pennsylvania, US"
US,Pennsylvania,Lancaster,North America,545724,"Lancaster, Pennsylvania, US"
US,Oklahoma,McIntosh,North America,19596,"McIntosh, Oklahoma, US"
US,Pennsylvania,Cumberland,North America,253370,"Cumberland, Pennsylvania, US"
US,Pennsylvania,Lackawanna,North America,209674,"Lackawanna, Pennsylvania, US"
US,Oklahoma,McCurtain,North America,32832,"McCurtain, Oklahoma, US"
US,Puerto Rico,Carolina,North America,146984,"Carolina, Puerto Rico, US"
US,Pennsylvania,Crawford,North America,84629,"Crawford, Pennsylvania, US"
US,Oklahoma,McClain,North America,40474,"McClain, Oklahoma, US"
US,Puerto Rico,Canovanas,North America,44674,"Canovanas, Puerto Rico, US"
US,Puerto Rico,Barceloneta,North America,23727,"Barceloneta, Puerto Rico, US"
US,Oklahoma,Mayes,North America,41100,"Mayes, Oklahoma, US"
US,Puerto Rico,Camuy,North America,30504,"Camuy, Puerto Rico, US"
US,Puerto Rico,Arroyo,North America,17238,"Arroyo, Puerto Rico, US"
US,South Carolina,Clarendon,North America,33745,"Clarendon, South Carolina, US"
US,Texas,Burleson,North America,18443,"Burleson, Texas, US"
US,Texas,Bowie,North America,93245,"Bowie, Texas, US"
US,South Carolina,Chesterfield,North America,45650,"Chesterfield, South Carolina, US"
US,Oklahoma,Pittsburg,North America,43654,"Pittsburg, Oklahoma, US"
US,Oregon,Linn,North America,129749,"Linn, Oregon, US"
US,South Dakota,Fall River,North America,6713,"Fall River, South Dakota, US"
US,Puerto Rico,Morovis,North America,30335,"Morovis, Puerto Rico, US"
US,Tennessee,Hancock,North America,6620,"Hancock, Tennessee, US"
US,Puerto Rico,Culebra,North America,1714,"Culebra, Puerto Rico, US"
US,South Carolina,Marion,North America,30657,"Marion, South Carolina, US"
US,Tennessee,Hamilton,North America,367804,"Hamilton, Tennessee, US"
US,South Dakota,Kingsbury,North America,4939,"Kingsbury, South Dakota, US"
US,Puerto Rico,Corozal,North America,32293,"Corozal, Puerto Rico, US"
US,Tennessee,Hamblen,North America,64934,"Hamblen, Tennessee, US"
US,South Dakota,Custer,North America,8972,"Custer, South Dakota, US"
US,South Carolina,Allendale,North America,8688,"Allendale, South Carolina, US"
US,Puerto Rico,Comerio,North America,18648,"Comerio, Puerto Rico, US"
US,South Dakota,Corson,North America,4086,"Corson, South Dakota, US"
US,South Carolina,Aiken,North America,170872,"Aiken, South Carolina, US"
US,Puerto Rico,Coamo,North America,38336,"Coamo, Puerto Rico, US"
US,South Dakota,Codington,North America,28009,"Codington, South Dakota, US"
US,South Carolina,Abbeville,North America,24527,"Abbeville, South Carolina, US"
US,Puerto Rico,Cidra,North America,38307,"Cidra, Puerto Rico, US"
US,South Dakota,Clay,North America,14070,"Clay, South Dakota, US"
US,Rhode Island,,North America,1059361,"Rhode Island, US"
US,Oklahoma,Bryan,North America,47995,"Bryan, Oklahoma, US"
US,South Dakota,Clark,North America,3736,"Clark, South Dakota, US"
US,Texas,Frio,North America,20306,"Frio, Texas, US"
US,Tennessee,Bledsoe,North America,15064,"Bledsoe, Tennessee, US"
US,South Dakota,Charles Mix,North America,9292,"Charles Mix, South Dakota, US"
US,Pennsylvania,Chester,North America,524989,"Chester, Pennsylvania, US"
US,Tennessee,Benton,North America,16160,"Benton, Tennessee, US"
US,South Dakota,Campbell,North America,1376,"Campbell, South Dakota, US"
US,Pennsylvania,Centre,North America,162385,"Centre, Pennsylvania, US"
US,Tennessee,Bedford,North America,49713,"Bedford, Tennessee, US"
US,South Carolina,Berkeley,North America,227907,"Berkeley, South Carolina, US"
US,South Dakota,Butte,North America,10429,"Butte, South Dakota, US"
US,Tennessee,Anderson,North America,76978,"Anderson, Tennessee, US"
US,Texas,Palo Pinto,North America,29189,"Palo Pinto, Texas, US"
US,South Dakota,Buffalo,North America,1962,"Buffalo, South Dakota, US"
US,South Dakota,,North America,884659,"South Dakota, US"
US,Ohio,Scioto,North America,75314,"Scioto, Ohio, US"
US,Oregon,,North America,4217737,"Oregon, US"
US,Oklahoma,Marshall,North America,16931,"Marshall, Oklahoma, US"
US,Puerto Rico,Caguas,North America,124606,"Caguas, Puerto Rico, US"
US,Puerto Rico,Arecibo,North America,81966,"Arecibo, Puerto Rico, US"
US,Oklahoma,Major,North America,7629,"Major, Oklahoma, US"
US,Ohio,Madison,North America,44731,"Madison, Ohio, US"
US,Puerto Rico,Anasco,North America,26161,"Anasco, Puerto Rico, US"
US,South Carolina,Chester,North America,32244,"Chester, South Carolina, US"
US,Ohio,Lucas,North America,428348,"Lucas, Ohio, US"
US,Puerto Rico,Aibonito,North America,22108,"Aibonito, Puerto Rico, US"
US,Ohio,Hardin,North America,31365,"Hardin, Ohio, US"
US,Puerto Rico,Moca,North America,34891,"Moca, Puerto Rico, US"
US,Oregon,Harney,North America,7393,"Harney, Oregon, US"
